ENGINE SIZE,CYLINDERS,FUEL CONSUMPTION,COEMISSIO
3.5,6.0,17.8,366.0
3.5,6.0,17.9,368.0
3.0,6.0,14.8,290.0
4.0,8.0,15.3,308.0
4.0,8.0,15.5,306.0
4.0,8.0,16.6,331.0
4.0,8.0,15.5,306.0
4.0,8.0,16.5,331.0
4.0,8.0,15.4,304.0
4.0,8.0,15.5,306.0
4.0,8.0,15.7,313.0
4.0,8.0,16.3,324.0
4.0,6.0,16.6,338.0
4.0,6.0,15.4,317.0
4.0,6.0,16.5,336.0
4.7,8.0,18.0,363.0
2.5,4.0,16.6,357.0
2.5,4.0,14.7,315.0
4.0,6.0,17.3,368.0
4.0,6.0,16.7,347.0
1.8,4.0,11.7,235.0
1.8,4.0,11.2,237.0
2.0,4.0,13.4,294.0
2.0,4.0,12.8,288.0
4.0,8.0,19.6,403.0
4.0,8.0,19.6,403.0
4.0,8.0,19.6,403.0
4.6,8.0,22.1,458.0
3.0,6.0,13.8,276.0
3.0,6.0,13.7,281.0
4.0,8.0,15.0,299.0
4.0,8.0,14.3,285.0
4.7,8.0,19.4,405.0
3.0,6.0,14.2,292.0
3.0,6.0,14.4,299.0
4.6,8.0,15.2,297.0
3.0,6.0,15.4,304.0
3.0,6.0,15.5,304.0
3.9,8.0,15.9,313.0
5.4,8.0,21.4,430.0
4.6,8.0,15.3,304.0
2.0,4.0,12.7,258.0
2.0,4.0,10.6,219.0
2.5,6.0,13.7,278.0
2.5,6.0,13.3,271.0
3.0,6.0,15.6,313.0
3.0,6.0,16.2,322.0
4.0,6.0,17.1,357.0
4.0,6.0,15.5,320.0
4.0,6.0,17.2,354.0
4.0,6.0,16.5,343.0
2.5,6.0,13.8,276.0
2.3,6.0,13.7,271.0
2.5,6.0,15.2,313.0
1.8,4.0,11.9,244.0
1.8,4.0,11.1,230.0
1.8,4.0,11.5,239.0
1.6,4.0,10.6,221.0
1.6,4.0,9.8,207.0
1.8,4.0,11.2,230.0
1.8,4.0,10.2,212.0
2.3,4.0,12.5,251.0
2.8,6.0,12.7,258.0
4.3,8.0,14.7,304.0
3.2,6.0,12.9,255.0
3.2,6.0,13.6,269.0
4.3,8.0,14.4,290.0
4.3,8.0,15.2,304.0
3.2,6.0,12.9,253.0
3.2,6.0,13.1,262.0
3.2,6.0,13.5,274.0
3.2,6.0,13.2,267.0
4.3,8.0,14.6,292.0
